Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
"Klosterheim, Or, The Masque","DeQuincey, Thomas",1832,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",deQuincey_Klosterheim_eBooksAtAdelaide.txt,https://ebooks.adelaide.edu.au/d/de_quincey/thomas/klosterheim/complete.html,,,https://archive.org/details/klosterheimorma02quingoog,,,,,,,,,"['natural', 'angry', 'livid', 'black', 'imperial', 'bloody', 'bloody', 'imperial', 'imperial', 'natural', 'black', 'natural', 'natural', 'natural', 'sallow', 'white', 'black', 'imperial', 'imperial', 'imperial', 'natural', 'imperial', 'imperial', 'natural', 'imperial', 'imperial', 'imperial', 'imperial', 'imperial', 'imperial', 'black', 'imperial', 'imperial', 'imperial', 'imperial', 'imperial', 'natural', 'black', 'black', 'imperial', 'imperial', 'imperial', 'blue', 'imperial', 'natural', 'white', 'natural', 'natural', 'white', 'white', 'white', 'white', 'imperial', 'imperial', 'imperial', 'imperial', 'natural', 'imperial', 'black', 'purple', 'wine', 'marble', 'marble', 'imperial', 'bloody', 'imperial', 'natural', 'imperial', 'imperial', 'imperial', 'neutral', 'angry', 'imperial', 'imperial', 'natural', 'imperial', 'imperial', 'imperial', 'natural', 'bloody', 'imperial', 'imperial', 'imperial', 'imperial', 'bloody', 'imperial', 'imperial', 'imperial', 'imperial', 'imperial', 'black', 'angry', 'blank', 'imperial', 'marble', 'imperial', 'imperial', 'black', 'imperial', 'imperial', 'imperial', 'imperial', 'imperial', 'imperial']","{'natural': 15, 'angry': 3, 'livid': 1, 'black': 9, 'imperial': 56, 'bloody': 5, 'sallow': 1, 'white': 6, 'blue': 1, 'purple': 1, 'wine': 1, 'marble': 3, 'neutral': 1, 'blank': 1}"
"The Algerines, Or, The Twins Of Naples","Green, William Child",1832,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
Fitzallen,"Huish, Robert",1832,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Champavert, Contes Immoraux","Borel, Petrus",1833,French Romantic,Short Story Collection,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
Rookwood,"Ainsworth, William Harrison",1834,,Novel,Gothic,American,,,,,,Central,"Norton, Gothic Readings",Ainsworth_Rookwood_Gutenberg.txt,http://www.gutenberg.org/files/23564/23564-h/23564-h.htm,,,,https://en.wikipedia.org/wiki/Rookwood_(novel),,Project Gutenberg,#23564,7-Nov-07,21-Mar-17,"Produced by Afra Ullah, Stephen Blundell and the Online Distributed Proofreading Team at http://www.pgdp.net",,"['black', 'cardinal', 'green', 'black', 'inky', 'natural', 'black', 'green', 'sanguine', 'black', 'golden', 'marble', 'brown', 'natural', 'raven', 'hoary', 'rusty', 'green', 'black', 'black', 'red', 'green', 'red', 'green', 'natural', 'raven', 'white', 'wan', 'leaden', 'black', 'mole', 'black', 'grassy', 'black', 'sallow', 'black', 'black', 'green', 'natural', 'brown', 'angry', 'blood-red', 'white', 'black', 'white', 'golden', 'green', 'hoary', 'marble', 'blue', 'natural', 'blue', 'white', 'black', 'red', 'black', 'vermeil', 'black', 'natural', 'claret', 'red', 'sanguineous', 'white', 'blue', 'red', 'sandy', 'black', 'red', 'natural', 'natural', 'black', 'black', 'brown', 'angry', 'natural', 'blue', 'golden', 'rosy', 'silvery', 'white', 'black', 'mourning', 'white', 'crimson', 'black', 'angry', 'sable', 'black', 'steely', 'yellow', 'black', 'angry', 'lurid', 'purple', 'angry', 'sable', 'white', 'black', 'natural', 'black', 'blue', 'blue', 'blue', 'natural', 'black', 'green', 'black', 'black', 'leaden', 'lurid', 'white', 'white', 'black', 'white', 'black', 'red', 'black', 'silvery', 'sable', 'white', 'black', 'black', 'red', 'blue', 'rusty', 'natural', 'black', 'blank', 'black', 'mole', 'yellow', 'golden', 'golden', 'green', 'embrowned', 'black', 'sanguine', 'sloe-black', 'olive', 'jetty', 'brown', 'natural', 'black', 'black', 'golden', 'natural', 'golden', 'sandy', 'brown', 'white', 'blue', 'green', 'black', 'green', 'natural', 'purple', 'black', 'black', 'green', 'canvas', 'black', 'black', 'black', 'white', 'red', 'red', 'white', 'natural', 'golden', 'silver', 'yellow', 'black', 'lurid', 'white', 'snow', 'black', 'brown', 'raven', 'straw', 'black', 'red', 'red', 'black', 'golden', 'brown', 'yellow', 'golden', 'green', 'green', 'green', 'verdant', 'rose-like', 'verdant', 'white', 'white', 'green', 'sunny', 'coal-black', 'purple', 'purple', 'black', 'coal-black', 'coal-black', 'coal-black', 'coal-black', 'coal-black', 'coal-black', 'coal-black', 'coal-black', 'coal-black', 'purple', 'green', 'black', 'black', 'black', 'blue', 'black', 'green', 'black', 'black', 'blue', 'sallow', 'livid', 'blank', 'blue', 'yellow', 'green', 'black', 'grassy', 'blue', 'natural', 'flinty', 'black', 'black', 'white', 'golden', 'red', 'livid', 'marble', 'marble', 'black', 'flinty', 'white', 'verdant', 'black', 'blank', 'black', 'green', 'rosy', 'green', 'blank', 'angry', 'golden', 'black', 'black', 'sallow', 'white', 'black', 'black', 'white', 'red', 'rosy', 'black', 'black', 'black', 'black', 'black', 'black', 'white', 'black', 'black', 'black', 'black', 'black', 'black', 'green', 'black', 'black', 'black', 'black', 'red', 'white', 'black', 'green', 'green', 'black', 'black', 'verdant', 'green', 'black', 'smoky', 'pearly', 'black', 'black', 'black', 'black', 'white', 'black', 'white', 'white', 'blue', 'metallic', 'black', 'golden', 'black', 'black', 'black', 'golden', 'white', 'straw', 'rusty', 'sunny', 'black', 'black', 'sable', 'black', 'black', 'red', 'natural', 'bloody', 'natural', 'black', 'blue', 'white', 'silvery', 'white', 'verdant', 'natural', 'bloody', 'sable', 'livid', 'nut-brown', 'green', 'black', 'black', 'yellow', 'gilded', 'metallic', 'marble', 'marble', 'rusty', 'marble', 'sable', 'black', 'green', 'grassy', 'sunny', 'natural', 'golden', 'black', 'red', 'green', 'golden', 'golden', 'golden']
","{'black': 102, 'cardinal': 1, 'green': 28, 'inky': 1, 'natural': 21, 'sanguine': 2, 'golden': 18, 'marble': 7, 'brown': 7, 'raven': 3, 'hoary': 2, 'rusty': 4, 'red': 17, 'white': 30, 'wan': 1, 'leaden': 2, 'mole': 2, 'grassy': 3, 'sallow': 3, 'angry': 6, 'blood-red': 1, 'blue': 15, 'vermeil': 1, 'claret': 1, 'sanguineous': 1, 'sandy': 2, 'rosy': 3, 'silvery': 3, 'mourning': 1, 'crimson': 1, 'sable': 6, 'steely': 1, 'yellow': 6, 'lurid': 3, 'purple': 5, 'blank': 4, 'embrowned': 1, 'sloe-black': 1, 'olive': 1, 'jetty': 1, 'canvas': 1, 'silver': 1, 'snow': 1, 'straw': 2, 'verdant': 5, 'rose-like': 1, 'sunny': 3, 'coal-black': 10, 'livid': 3, 'flinty': 2, 'smoky': 1"
"""Young Goodman Brown""","Hawthorne, Nathaniel",1835,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Young_Goodman_Brown,,,,,,,,,
"""Berenice""","Poe, Edgar Allan",1835,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Poe_Berenice_EAPoe-org.txt,https://www.eapoe.org/works/tales/bernicea.htm,,,,https://en.wikipedia.org/wiki/Berenice_(short_story),,Edgar Allan Poe Society of Baltimore,,9-Aug-05,17-Apr-17,,,"['grey', 'golden', 'black', 'white', 'white', 'sable', 'white', 'livid', 'white', 'white', 'white']","{'grey': 1, 'golden': 1, 'black': 1, 'white': 6, 'sable': 1, 'livid': 1}"
Lodore,"Shelley, Mary",1835,Romantic,Novel,Gothic,English,,"Colburn, Henry",,London,New Burlington Street,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyMary_Lodore_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606381h.html,,,https://archive.org/details/lodore00shelgoog,https://en.wikipedia.org/wiki/Lodore,,Project Gutenberg Australia,#932,6-Aug,21-Mar-17,"Scott, Richard",,"['golden', 'natural', 'brazen', 'brown', 'hazel', 'black', 'sanguine', 'natural', 'natural', 'blue', 'green', 'blue', 'green', 'white', 'snowy', 'angry', 'white', 'natural', 'natural', 'angry', 'natural', 'natural', 'angry', 'golden', 'black', 'grizzly', 'angry', 'angry', 'natural', 'natural', 'angry', 'rosy', 'golden', 'crimsoned', 'angry', 'natural', 'angry', 'natural', 'natural', 'natural', 'natural', 'rosy', 'golden', 'black', 'natural', 'golden', 'blue', 'black', 'black', 'natural', 'natural', 'angry', 'yellow', 'silver', 'brown', 'natural', 'natural', 'natural', 'marble', 'blue', 'sunny', 'green', 'verdant', 'sunny', 'blue', 'white', 'grey', 'natural', 'natural', 'straw', 'natural', 'angry', 'natural', 'natural', 'golden', 'white', 'blue', 'natural', 'sunny', 'natural', 'angry', 'natural', 'golden', 'natural', 'natural', 'black', 'natural', 'blood-red', 'black', 'natural', 'verdant', 'natural', 'natural', 'blank', 'natural', 'sunny', 'red', 'neutral', 'sunny', 'angry', 'green', 'verdant', 'green', 'silvery', 'sunny', 'golden', 'green', 'angry', 'blank', 'angry', 'sunny', 'angry', 'yellow', 'orient', 'natural', 'rosy', 'blank', 'blue', 'sunny', 'blue', 'natural', 'angry', 'black', 'smoky', 'snow', 'blue', 'natural', 'snow', 'golden', 'sanguine', 'blank', 'red', 'marble', 'black', 'gilded', 'white', 'natural', 'golden', 'black', 'green', 'green', 'grey', 'natural', 'natural', 'white', 'red', 'natural', 'natural', 'green', 'natural', 'natural', 'natural', 'golden', 'marble', 'red', 'angry', 'angry', 'black', 'sunny', 'blue', 'grassy', 'white', 'angry', 'angry', 'black', 'snow', 'wan', 'white', 'angry', 'angry', 'angry', 'sanguine', 'blue', 'white', 'white', 'black', 'white', 'green', 'white', 'angry', 'green', 'golden', 'blank']","{'golden': 12, 'natural': 46, 'brazen': 1, 'brown': 2, 'hazel': 1, 'black': 13, 'sanguine': 3, 'blue': 11, 'green': 11, 'white': 12, 'snowy': 1, 'angry': 24, 'grizzly': 1, 'rosy': 3, 'crimsoned': 1, 'yellow': 2, 'silver': 1, 'marble': 3, 'sunny': 9, 'verdant': 3, 'grey': 2, 'straw': 1, 'blood-red': 1, 'blank': 5, 'red': 4, 'neutral': 1, 'silvery': 1, 'orient': 1, 'smoky': 1, 'snow': 3, 'gilded': 1, 'grassy': 1, 'wan': 1}"
"""The Minister'S Black Veil""","Hawthorne, Nathaniel",1836,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Hawthorne_TheMinistersBlackVeil_Gutenberg.txt,https://www.gutenberg.org/files/13707/13707-h/13707-h.htm#minister,,,,https://en.wikipedia.org/wiki/The_Minister%27s_Black_Veil,,,,,,,,"['black', 'black', 'black', 'black', 'black', 'hoary', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'white', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'sable', 'natural', 'hoary', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'black']","{'black': 42, 'hoary': 2, 'white': 1, 'sable': 1, 'natural': 1}"
"""La Vénus D'Ille""","Mérimée, Prosper",1837,,Short Story,Gothic,French,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/La_V%C3%A9nus_d%27Ille,,,,,,,,,
Falkner. A Novel,"Shelley, Mary",1837,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/falknernovel00shel,https://en.wikipedia.org/wiki/Falkner_(novel),,,,,,,,,
"""Edward Randolph'S Portrait""","Hawthorne, Nathaniel",1838,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Hawthorne_EdwardRandolphsPortrait_EldrichPress.txt,http://www.eldritchpress.org/nh/erp.html,,,,,,,,,,,,"['black', 'nutmeg', 'black', 'black', 'black', 'white', 'sunny', 'bloody', 'black', 'black', 'black', 'white', 'white', 'natural', 'black', 'sable', 'sable']","{'black': 8, 'nutmeg': 1, 'white': 3, 'sunny': 1, 'bloody': 1, 'natural': 1, 'sable': 2}"
The Phantom Ship,"Marryat, Frederick",1839,,Novel,Gothic,English,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Marrayat_ThePhantomShip_Gutenberg.txt,http://www.gutenberg.org/ebooks/12954,,,https://archive.org/details/phantomshipandol00marriala,https://en.wikipedia.org/wiki/The_Phantom_Ship,,Project Gutenberg,#12954,July 19 2004,17-Apr-17,"Ted Garvin, Josephine Paolucci, and the Project
Gutenberg Online Distributed Proofreading Team
",,"['blue', 'white', 'white', 'blue', 'white', 'snow-white', 'red', 'black', 'sulphurous', 'livid', 'white', 'gold', 'black', 'black', 'white', 'silver', 'black', 'silver', 'black', 'yellow', 'white', 'canary', 'yellow', 'black', 'red', 'angry', 'gold', 'natural', 'coral', 'white', 'red', 'white', 'white', 'silver', 'natural', 'sanguine', 'flaxen', 'red', 'red', 'green', 'black', 'crimson', 'white', 'black', 'white', 'white', 'red', 'angry', 'black', 'white', 'white', 'bloody', 'white', 'brown', 'wine', 'silver', 'natural', 'silver', 'silver', 'green', 'white', 'white', 'brown', 'green', 'white', 'green', 'white', 'white', 'sandy', 'black', 'snow', 'blue', 'black', 'natural', 'angry', 'angry', 'coral', 'white', 'white', 'angry', 'white', 'white', 'torrid', 'blackened', 'black', 'rusty', 'yellow', 'jet', 'black', 'white', 'white', 'sandy', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'angry', 'marble', 'black', 'white', 'white', 'black', 'natural', 'blue', 'sandy', 'angry', 'gold', 'white', 'white', 'white', 'white', 'white', 'white', 'flaxen', 'snow', 'bloody', 'white', 'white', 'white', 'white', 'white', 'white', 'bronzed', 'black', 'white', 'black', 'white', 'grey', 'black', 'white', 'black', 'black', 'marble', 'straw', 'white', 'lurid']","{'blue': 5, 'white': 50, 'snow-white': 1, 'red': 6, 'black': 20, 'sulphurous': 1, 'livid': 1, 'gold': 3, 'silver': 6, 'yellow': 3, 'canary': 1, 'angry': 7, 'natural': 5, 'coral': 2, 'sanguine': 1, 'flaxen': 2, 'green': 4, 'crimson': 1, 'bloody': 2, 'brown': 2, 'wine': 1, 'sandy': 3, 'snow': 2, 'torrid': 1, 'blackened': 1, 'rusty': 1, 'jet': 1, 'marble': 2, 'bronzed': 1, 'grey': 1, 'straw': 1, 'lurid': 1}"
The Narrative Of Arthur Gordon Pym Of Nantucket,"Poe, Edgar Allan",1839,,Novel,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Poe_ArthurGordonPym_Gutenberg.txt,http://www.gutenberg.org/ebooks/51060,,,https://archive.org/details/arthurgordonpym00poee,https://en.wikipedia.org/wiki/The_Narrative_of_Arthur_Gordon_Pym_of_Nantucket,,Project Gutenberg,#51060,Jan 27 2006,17-Apr-17,"Swanson, Ron",,"['natural', 'white', 'marble', 'livid', 'angry', 'green', 'red', 'straw', 'black', 'red', 'white', 'white', 'angry', 'red', 'white', 'black', 'black', 'black', 'natural', 'natural', 'natural', 'black', 'red', 'red', 'blue', 'white', 'white', 'white', 'bloody', 'green', 'black', 'white', 'red', 'marble', 'white', 'crimsoned', 'ensanguined', 'yellow', 'wine', 'black', 'natural', 'black', 'natural', 'black', 'white', 'natural', 'white', 'black', 'blue', 'snow', 'black', 'elephant', 'black', 'blue', 'white', 'red', 'bloody', 'red', 'coral', 'white', 'sandy', 'white', 'black', 'black', 'black', 'white', 'natural', 'black', 'black', 'black', 'black', 'black', 'black', 'black', 'blue', 'brown', 'blue', 'red', 'blue', 'red', 'coral', 'black', 'natural', 'natural', 'blue', 'natural', 'white', 'black', 'black', 'black', 'blue', 'black', 'white', 'black', 'grizzly', 'black', 'black', 'metallic', 'black', 'black', 'white', 'black', 'natural', 'black', 'black', 'black', 'black', 'milky', 'white', 'white', 'black', 'white', 'white', 'milky', 'white', 'white', 'white', 'snow', 'white']","{'natural': 12, 'white': 26, 'marble': 2, 'livid': 1, 'angry': 2, 'green': 2, 'red': 10, 'straw': 1, 'black': 38, 'blue': 8, 'bloody': 2, 'crimsoned': 1, 'ensanguined': 1, 'yellow': 1, 'wine': 1, 'snow': 2, 'elephant': 1, 'coral': 2, 'sandy': 1, 'brown': 1, 'grizzly': 1, 'metallic': 1, 'milky': 2}"
"""The Fall Of The House Of Usher""","Poe, Edgar Allan",1839,,Short Story,Gothic,American,,,,,,Central,"Norton, Gothic Readings",Poe_FallOfTheHouseOfUsher_Gutenberg.txt,http://www.gutenberg.org/cache/epub/932/pg932.txt,,,,https://en.wikipedia.org/wiki/The_Fall_of_the_House_of_Usher,,Project Gutenberg,,15-Dec-10,21-Mar-17,Levent Kurnaz and Jose Menendez,,"['natural', 'white', 'natural', 'black', 'lurid', 'leaden-hued', 'black', 'encrimsoned', 'leaden', 'natural', 'sulphureous', 'white', 'golden', 'blue', 'brazen', 'silver', 'silver', 'stony', 'white', 'blood-red'","{'natural': 3, 'white': 3, 'black': 2, 'lurid': 1, 'leaden-hued': 1, 'encrimsoned': 1, 'leaden': 1, 'sulphureous': 1, 'golden': 1, 'blue': 1, 'brazen': 1, 'silver': 2, 'stony': 1, 'blood-red': 1}"
The Ingoldsby Legends,"Barham, Richard",1840,Victorian,Short Story Collection,Gothic,American,"Ingoldsby, Thomas",,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,https://archive.org/details/ingoldsbylegend01cruigoog,,,,,,,,,,
Gaspard De La Nuit,"Bertrand, Louis Jacques Napoléon",1842,,Poetry Collection,Gothic,French,"Bertrand, Aloysius",,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Gaspard_de_la_Nuit_(poetry_collection),,,,,,,,,
"""The Masque Of The Red Death""","Poe, Edgar Allan",1842,,Short Story,Gothic,American,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Poe_MasqueOfTheRedDeath_Gutenberg.txt,https://www.gutenberg.org/files/1064/1064-h/1064-h.htm,,,,https://en.wikipedia.org/wiki/The_Masque_of_the_Red_Death,,Project Gutenberg,#1064,6-Jun-10,17-Apr-17,Levent Kurnaz.  HTML version by Al Haines,,"['red', 'red', 'wine', 'red', 'imperial', 'blue', 'purple', 'purple', 'green', 'black', 'golden', 'black', 'brazen', 'blood-coloured', 'sable', 'sable', 'red', 'blue', 'blue', 'green', 'sable', 'black', 'red', 'red']","{'red': 6, 'wine': 1, 'imperial': 1, 'blue': 3, 'purple': 2, 'green': 2, 'black': 3, 'golden': 1, 'brazen': 1, 'blood-coloured': 1, 'sable': 3}"
"""The Pit And The Pendulum""","Poe, Edgar Allan",1842,,Short Story,Gothic,American,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,,,,,,https://en.wikipedia.org/wiki/The_Pit_and_the_Pendulum,,,,,,,,,
"""The Oval Portrait""","Poe, Edgar Allan",1842,Victorian,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,Poe_TheOvalPortrait_Wikisource.txt,https://en.wikisource.org/wiki/The_Works_of_the_Late_Edgar_Allan_Poe/Volume_1/The_Oval_Portrait,,,,https://en.wikipedia.org/wiki/The_Oval_Portrait,Mentions Radcliffe by name,,,,,,,"['golden', 'black']","{'golden': 1, 'black': 1}"
Franklin Evans,"Whitman, Walt",1842,,Novel,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Franklin_Evans,,,,,,,,,
"""The Black Cat""","Poe, Edgar Allan",1843,,Short Story,Gothic,American,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Poe_TheBlackCat_Wikisource.txt,https://en.wikisource.org/wiki/Tales_(Poe)/The_Black_Cat,,,,https://en.wikipedia.org/wiki/The_Black_Cat_(short_story),,Wikisource,,,17-Apr-17,,"1845, from Tales","['black', 'natural', 'black', 'black', 'white', 'black', 'black', 'white', 'white', 'white', 'incarnate', 'red']","{'black': 5, 'natural': 1, 'white': 4, 'incarnate': 1, 'red': 1}"
"""The Tell-Tale Heart""","Poe, Edgar Allan",1843,,Short Story,Gothic,American,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,Poe_TheTellTaleHeart_Wikisource.txt,https://en.wikisource.org/wiki/Mystery_Tales_of_Edgar_Allan_Poe/The_Tell-Tale_Heart,,,,https://en.wikipedia.org/wiki/The_Tell-Tale_Heart,,,,,,,,"['black', 'black', 'stone']","{'black': 2, 'stone': 1}"
"""Rappacini'S Daughter""","Hawthorne, Nathaniel",1844,,Short Story,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,https://en.wikipedia.org/wiki/Rappaccini%27s_Daughter,,,,,,,,,
Suspiria De Profundis: Being A Sequel To The Confessions Of An English Opium-Eater',"DeQuincey, Thomas",1845,Victorian,Short Story Collection,Gothic,English,,,,,,Peripheral,Caroline,DeQuincey_Suspiria_Gutenberg.txt,https://www.gutenberg.org/files/23788/23788-h/23788-h.htm,,,,https://en.wikipedia.org/wiki/Suspiria_de_Profundis,Prose poetry,,,,,,,"['natural', 'black', 'green', 'natural', 'sunny', 'sunny', 'sunny', 'natural', 'natural', 'natural', 'imperial']","{'natural': 5, 'black': 1, 'green': 1, 'sunny': 3, 'imperial': 1}"
"The Quaker City, Or The Monks Of Monk Hall","Lippard, George",1845,,Novel,Gothic,American,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,"https://en.wikipedia.org/wiki/The_Quaker_City,_or_The_Monks_of_Monk_Hall",,,,,,,,,
Faust,"Reynolds, G. W. M.",1846,Victorian,Novel,Gothic,English,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,,,,,https://babel.hathitrust.org/cgi/pt?id=osu.32435001104157;view=1up;seq=7,,,,,,,,,,
Varney The Vampire,"Rymer, James Malcolm",1847,Victorian,Novel,Gothic,English,,,,,,Central,Wikipedia: https://en.wikipedia.org/wiki/Gothic_fiction,Rymer_VarneyTheVampire_Gutenberg.txt,http://www.gutenberg.org/ebooks/14833,,,,https://en.wikipedia.org/wiki/Varney_the_Vampire,Serial novel,Project Gutenberg,#14833,29-Jan-05,17-Apr-17,"Charles Franks, Debra Storr, Sandra Brown and the PG
Online Distributed Proofreading Team","Abridged edition, published in one volume by London; E. Lloyd","['wine', 'sanguine', 'blackened', 'pearly', 'blue', 'blue', 'red', 'red', 'white', 'white', 'white', 'metallic', 'natural', 'natural', 'natural', 'candid', 'sanguine', 'natural', 'whitish', 'red', 'natural', 'marble', 'leaden', 'leaden', 'black', 'leaden', 'angry', 'natural', 'sanguine', 'natural', 'sunny', 'golden', 'natural', 'sunny', 'natural', 'candid', 'sallow', 'white', 'natural', 'wan', 'natural', 'rosy', 'wine', 'angry', 'black', 'gold', 'golden', 'sallow', 'angry', 'natural', 'angry', 'green', 'green', 'sallow', 'green', 'natural', 'green', 'natural', 'white', 'black', 'white', 'angry', 'white', 'green', 'candid', 'natural', 'marble', 'white', 'natural', 'marble', 'natural', 'wan', 'golden', 'purple', 'blue', 'white', 'natural', 'pitchy', 'wine', 'red', 'raven', 'black', 'sunny', 'hazel', 'brown', 'white', 'golden', 'natural', 'angry', 'natural', 'white', 'marble', 'golden', 'black', 'white', 'iron', 'green', 'red', 'blue', 'blue', 'candid', 'natural', 'blue', 'angry', 'blackened', 'green', 'natural', 'natural', 'black', 'blue', 'natural', 'natural', 'natural', 'rush', 'blank', 'red', 'lurid', 'wine', 'wine', 'wine', 'angry', 'red', 'natural', 'red', 'red', 'angry', 'red', 'red', 'livid', 'red', 'stone', 'natural', 'brown', 'natural', 'candid', 'wine', 'white', 'natural', 'angry', 'natural', 'blue', 'natural', 'natural', 'white', 'green', 'black', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'green', 'red', 'natural', 'angry', 'bloody', 'red', 'white', 'angry', 'angry', 'natural', 'rush', 'black', 'blackened', 'white', 'livid', 'red', 'white', 'green', 'natural', 'natural', 'coal-black', 'red', 'white', 'black', 'blank', 'green', 'green', 'candid', 'sanguine', 'green', 'bloody', 'bloody', 'natural', 'natural', 'natural', 'natural', 'green', 'green', 'natural', 'angry', 'natural', 'red', 'natural', 'natural', 'natural', 'gilded', 'black', 'black', 'sunny', 'natural', 'yellow', 'livid', 'leaden', 'blue', 'navy', 'white', 'red', 'angry', 'candid']","{'wine': 7, 'sanguine': 4, 'blackened': 3, 'pearly': 1, 'blue': 9, 'red': 18, 'white': 19, 'metallic': 1, 'natural': 47, 'candid': 7, 'whitish': 1, 'marble': 4, 'leaden': 4, 'black': 11, 'angry': 15, 'sunny': 4, 'golden': 5, 'sallow': 3, 'wan': 2, 'rosy': 1, 'gold': 1, 'green': 29, 'purple': 1, 'pitchy': 1, 'raven': 1, 'hazel': 1, 'brown': 2, 'iron': 1, 'rush': 2, 'blank': 2, 'lurid': 1, 'livid': 3, 'stone': 1, 'bloody': 3, 'coal-black': 1, 'gilded': 1, 'yellow': 1, 'navy': 1}"
